feature,count,freq
parotid__sym__min__ct__wavelet-LHH_firstorder_Median,5,1.0
submand__sym__absdiff__ct__wavelet-LHL_gldm_DependenceEntropy,5,1.0
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,5,1.0
parotid_L__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,4,0.8
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Range,4,0.8
parotid__sym__min__ct__wavelet-LHL_glcm_Correlation,4,0.8
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,4,0.8
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_RunEntropy,4,0.8
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceEntropy,4,0.8
submand__sym__absdiff__ct__wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,4,0.8
parotid_R__ct__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,3,0.6
parotid__sym__absdiff__ct__original_ngtdm_Busyness,3,0.6
parotid__sym__absdiff__ct__wavelet-HHL_firstorder_Skewness,3,0.6
parotid__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,3,0.6
parotid__sym__absdiff__ct__wavelet-HLH_glszm_SizeZoneNonUniformity,3,0.6
parotid__sym__mean__ct__wavelet-LLH_glcm_InverseVariance,3,0.6
parotid__sym__min__ct__wavelet-HLH_glszm_ZoneEntropy,3,0.6
parotid__sym__min__ct__wavelet-HLL_ngtdm_Contrast,3,0.6
parotid__sym__min__ct__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,3,0.6
submand_L__ct__log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,3,0.6
submand_L__ct__wavelet-HHH_firstorder_Median,3,0.6
submand_L__ct__wavelet-HHH_glcm_Autocorrelation,3,0.6
submand_L__ct__wavelet-HHH_glcm_ClusterShade,3,0.6
submand_L__ct__wavelet-HHH_glcm_JointAverage,3,0.6
submand_R__ct__original_ngtdm_Busyness,3,0.6
submand_R__ct__wavelet-HLH_firstorder_Skewness,3,0.6
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Range,3,0.6
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Entropy,3,0.6
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,3,0.6
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_ZoneEntropy,3,0.6
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,3,0.6
submand__sym__absdiff__ct__wavelet-HLH_glcm_Imc1,3,0.6
submand__sym__absratio__ct__original_glcm_ClusterShade,3,0.6
submand__sym__max__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,3,0.6
submand__sym__min__ct__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,3,0.6
parotid_L__ct__log-sigma-1-0-mm-3D_glszm_ZoneEntropy,2,0.4
parotid_L__ct__original_gldm_DependenceVariance,2,0.4
parotid_L__ct__wavelet-HHH_glszm_SizeZoneNonUniformity,2,0.4
parotid_L__ct__wavelet-HLH_glszm_LargeAreaEmphasis,2,0.4
parotid_R__ct__wavelet-HLL_firstorder_Median,2,0.4
parotid_R__ct__wavelet-LLH_glrlm_RunVariance,2,0.4
parotid__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Median,2,0.4
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glcm_Contrast,2,0.4
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,2,0.4
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_RunEntropy,2,0.4
parotid__sym__absdiff__ct__wavelet-HHH_firstorder_Minimum,2,0.4
parotid__sym__absdiff__ct__wavelet-HHH_glcm_Imc2,2,0.4
parotid__sym__absdiff__ct__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,2,0.4
parotid__sym__absdiff__ct__wavelet-HLH_firstorder_Mean,2,0.4
parotid__sym__absdiff__ct__wavelet-LHH_firstorder_Skewness,2,0.4
parotid__sym__absdiff__ct__wavelet-LLH_gldm_LargeDependenceEmphasis,2,0.4
parotid__sym__absdiff__ct__wavelet-LLL_firstorder_90Percentile,2,0.4
parotid__sym__absratio__ct__original_firstorder_90Percentile,2,0.4
parotid__sym__diff__ct__original_glrlm_GrayLevelNonUniformityNormalized,2,0.4
parotid__sym__max__ct__log-sigma-1-0-mm-3D_glszm_ZoneEntropy,2,0.4
parotid__sym__max__ct__log-sigma-3-0-mm-3D_firstorder_Maximum,2,0.4
parotid__sym__max__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,2,0.4
parotid__sym__max__ct__log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,2,0.4
parotid__sym__max__ct__wavelet-HHH_firstorder_Variance,2,0.4
parotid__sym__min__ct__wavelet-HHH_glszm_GrayLevelNonUniformity,2,0.4
parotid__sym__min__ct__wavelet-LLH_glrlm_RunVariance,2,0.4
submand_L__ct__log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized,2,0.4
submand_L__ct__wavelet-HHH_glcm_SumAverage,2,0.4
submand_L__ct__wavelet-HLL_glrlm_ShortRunEmphasis,2,0.4
submand_L__ct__wavelet-LHH_firstorder_Maximum,2,0.4
submand_L__ct__wavelet-LHH_glcm_ClusterTendency,2,0.4
submand_R__ct__log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,2,0.4
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,2,0.4
submand_R__ct__log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,2,0.4
submand_R__ct__wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,2,0.4
submand_R__ct__wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,2,0.4
submand_R__ct__wavelet-LHH_glcm_Contrast,2,0.4
submand_R__ct__wavelet-LHH_glcm_DifferenceAverage,2,0.4
submand_R__ct__wavelet-LHH_glcm_Id,2,0.4
submand_R__ct__wavelet-LHH_glcm_Idm,2,0.4
submand_R__ct__wavelet-LHH_glcm_InverseVariance,2,0.4
submand_R__ct__wavelet-LHH_glszm_ZoneEntropy,2,0.4
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_firstorder_90Percentile,2,0.4
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,2,0.4
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,2,0.4
submand__sym__absdiff__ct__original_shape_MajorAxisLength,2,0.4
submand__sym__absdiff__ct__wavelet-HHH_firstorder_Range,2,0.4
submand__sym__absdiff__ct__wavelet-HLH_gldm_DependenceNonUniformityNormalized,2,0.4
submand__sym__absdiff__ct__wavelet-HLL_glrlm_RunEntropy,2,0.4
submand__sym__absdiff__ct__wavelet-LHH_glcm_ClusterTendency,2,0.4
submand__sym__absdiff__ct__wavelet-LHL_glszm_LargeAreaEmphasis,2,0.4
submand__sym__absdiff__ct__wavelet-LHL_glszm_ZoneVariance,2,0.4
submand__sym__absdiff__ct__wavelet-LLL_glcm_InverseVariance,2,0.4
submand__sym__absdiff__ct__wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,2,0.4
submand__sym__absratio__ct__original_firstorder_Skewness,2,0.4
submand__sym__absratio__ct__original_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
submand__sym__max__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,2,0.4
submand__sym__max__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,2,0.4
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,2,0.4
submand__sym__max__ct__wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,2,0.4
submand__sym__mean__ct__wavelet-LLL_firstorder_Maximum,2,0.4
submand__sym__min__ct__original_glszm_SmallAreaEmphasis,2,0.4
submand__sym__min__ct__wavelet-HHH_firstorder_Median,2,0.4
submand__sym__min__ct__wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,2,0.4
submand__sym__reldiff__ct__original_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
submand__sym__reldiff__ct__original_ngtdm_Strength,2,0.4
submand__sym__reldiff__ct__original_shape_Maximum2DDiameterSlice,2,0.4
parotid_L__ct__original_shape_Maximum2DDiameterRow,1,0.2
parotid_L__ct__wavelet-HHH_firstorder_Maximum,1,0.2
parotid_L__ct__wavelet-HHH_firstorder_Variance,1,0.2
parotid_L__ct__wavelet-HHH_glszm_GrayLevelNonUniformity,1,0.2
parotid_L__ct__wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,1,0.2
parotid_L__ct__wavelet-HHL_glcm_MCC,1,0.2
parotid_L__ct__wavelet-HHL_glrlm_RunPercentage,1,0.2
parotid_L__ct__wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
parotid_L__ct__wavelet-HLH_glrlm_ShortRunEmphasis,1,0.2
parotid_L__ct__wavelet-HLL_glszm_ZoneEntropy,1,0.2
parotid_L__ct__wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
parotid_L__ct__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid_R__ct__log-sigma-3-0-mm-3D_firstorder_Maximum,1,0.2
parotid_R__ct__log-sigma-3-0-mm-3D_gldm_DependenceEntropy,1,0.2
parotid_R__ct__log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
parotid_R__ct__log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,1,0.2
parotid_R__ct__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid_R__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,1,0.2
parotid_R__ct__original_shape_SurfaceArea,1,0.2
parotid_R__ct__wavelet-HHH_gldm_DependenceNonUniformity,1,0.2
parotid_R__ct__wavelet-HHH_glrlm_ShortRunEmphasis,1,0.2
parotid_R__ct__wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
parotid_R__ct__wavelet-HHL_glcm_MaximumProbability,1,0.2
parotid_R__ct__wavelet-HLH_glrlm_LongRunEmphasis,1,0.2
parotid_R__ct__wavelet-HLL_firstorder_Variance,1,0.2
parotid_R__ct__wavelet-HLL_glcm_Imc1,1,0.2
parotid_R__ct__wavelet-HLL_gldm_GrayLevelVariance,1,0.2
parotid_R__ct__wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
parotid_R__ct__wavelet-LHH_firstorder_Median,1,0.2
parotid_R__ct__wavelet-LHH_glcm_MaximumProbability,1,0.2
parotid_R__ct__wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
parotid_R__ct__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,1,0.2
parotid_R__ct__wavelet-LLH_glcm_Id,1,0.2
parotid_R__ct__wavelet-LLH_glcm_InverseVariance,1,0.2
parotid_R__ct__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid_R__ct__wavelet-LLL_firstorder_Maximum,1,0.2
parotid__sym__absdiff__ct__log-sigma-1-0-mm-3D_firstorder_Kurtosis,1,0.2
parotid__sym__absdiff__ct__log-sigma-1-0-mm-3D_glszm_ZoneEntropy,1,0.2
parotid__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Maximum,1,0.2
parotid__sym__absdiff__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,1,0.2
parotid__sym__absdiff__ct__log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,1,0.2
parotid__sym__absdiff__ct__log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,1,0.2
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Maximum,1,0.2
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,1,0.2
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,1,0.2
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,1,0.2
parotid__sym__absdiff__ct__wavelet-HHH_glcm_JointAverage,1,0.2
parotid__sym__absdiff__ct__wavelet-HHH_glcm_SumAverage,1,0.2
parotid__sym__absdiff__ct__wavelet-HHH_glcm_SumEntropy,1,0.2
parotid__sym__absdiff__ct__wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__ct__wavelet-HHL_glcm_ClusterShade,1,0.2
parotid__sym__absdiff__ct__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__ct__wavelet-LHH_firstorder_Median,1,0.2
parotid__sym__absdiff__ct__wavelet-LHH_glszm_SmallAreaEmphasis,1,0.2
parotid__sym__absdiff__ct__wavelet-LHL_glszm_GrayLevelNonUniformity,1,0.2
parotid__sym__absdiff__ct__wavelet-LLH_glcm_MaximumProbability,1,0.2
parotid__sym__absdiff__ct__wavelet-LLH_glrlm_RunPercentage,1,0.2
parotid__sym__absdiff__ct__wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,1,0.2
parotid__sym__absdiff__ct__wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
parotid__sym__absdiff__ct__wavelet-LLH_glszm_ZoneVariance,1,0.2
parotid__sym__absdiff__ct__wavelet-LLL_glcm_JointAverage,1,0.2
parotid__sym__absdiff__ct__wavelet-LLL_glcm_SumAverage,1,0.2
parotid__sym__absdiff__ct__wavelet-LLL_gldm_DependenceNonUniformity,1,0.2
parotid__sym__absdiff__ct__wavelet-LLL_glszm_ZonePercentage,1,0.2
parotid__sym__absdiff__ct__wavelet-LLL_ngtdm_Coarseness,1,0.2
parotid__sym__absratio__ct__original_shape_MinorAxisLength,1,0.2
parotid__sym__diff__ct__original_glcm_Imc1,1,0.2
parotid__sym__diff__ct__original_ngtdm_Busyness,1,0.2
parotid__sym__diff__ct__original_shape_LeastAxisLength,1,0.2
parotid__sym__max__ct__log-sigma-5-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,1,0.2
parotid__sym__max__ct__wavelet-HHL_firstorder_Skewness,1,0.2
parotid__sym__max__ct__wavelet-HLH_glcm_MCC,1,0.2
parotid__sym__max__ct__wavelet-HLH_glrlm_LongRunEmphasis,1,0.2
parotid__sym__max__ct__wavelet-HLH_glszm_LargeAreaEmphasis,1,0.2
parotid__sym__max__ct__wavelet-LHH_glcm_JointEnergy,1,0.2
